favorite_count,hashtag,retweet_count,tweet_id
33837,None,7018,892420643555336193
29353,None,5303,892177421306343426
22073,None,3486,891815181378084864
36968,None,7231,891689557279858688
35344,BarkWeek,7770,891327558926688256
17826,BarkWeek,2603,891087950875897856
10374,None,1668,890971913173991426
56909,None,15770,890729181411237888
24546,BarkWeek,3627,890609185150312448
27983,None,6106,890240255349198849
27062,BarkWeek,6156,890006608113172480
24581,None,4172,889880896479866881
42084,None,8357,889665388333682689
23703,None,3720,889638837579907072
13356,BarkWeek,1884,889531135344209921
22138,BarkWeek,4449,889278841981685760
25659,None,3768,888917238123831296
22489,None,3542,888804989199671297
17330,None,2880,888554962724278272
19163,None,2900,888078434458587136
26650,None,4539,887705289381826560
40758,None,9858,887517139158093824
60234,None,15041,887473957103951883
29609,None,8815,887343217045368832
27002,None,4997,887101392804085760
30411,None,6325,886983233522544640
10504,None,2633,886736880519319552
19756,None,3740,886680336477933568
18564,None,2633,886366144734445568
105,None,4,886267009285017600
24551,None,5296,886258384151887873
0,BATP,93,886054160059072513
28636,None,5620,885984800019947520
31620,None,5334,885528943205470208
18024,None,3109,885518971528720385
0,None,15449,885311592912609280
19274,None,3672,885167619883638784
67348,None,15043,884925521741709313
24399,None,4677,884876753390489601
21341,None,3917,884562892145688576
23880,None,4794,884441805382717440
63304,None,16934,884247878851493888
17956,None,2508,884162670584377345
19193,None,2865,883838122936631299
40239,None,8278,883482846933004288
19963,None,3086,883360690899218434
32543,None,5542,883117836046086144
20997,None,3249,882992080364220416
24821,None,4102,882762694511734784
24615,None,5069,882627270321602560
39224,None,9646,882268110199369728
25750,None,4083,882045870035918850
21458,None,2857,881906580714921986
44560,None,8969,881666595344535552
113,None,8,881633300179243008
43483,None,13409,881536004380872706
20501,Canada150,4496,881268444196462592
15056,None,2333,880935762899988482
18722,None,3204,880872448815771648
25045,None,5221,880465832366813184
23681,None,3472,880221127280381952
24357,None,3657,880095782870896641
19725,None,2933,879862464715927552
282,None,9,879674319642796034
20718,None,2630,879492040517615616
92945,None,37478,879415818425184262
14856,None,2652,879376492567855104
0,None,5749,879130579576475649
19824,None,3958,879050749262655488
16797,None,2245,879008229531029506
17146,PrideMonthPuppo,3438,878776093423087618
26458,None,5934,878604707211726852
0,None,1078,878404777348136964
0,None,5531,878316110768087041
6784,None,1078,878281511006478336
37170,None,5749,878057613040115712
69374,None,15830,877736472329191424
0,None,70,877611172832227328
19918,None,3173,877556246731214848
24169,None,4351,877316821321428993
23886,None,4635,877201837425926144
18233,None,2807,876838120628539392
21060,None,3975,876537666061221889
16578,None,2005,876484053909872640
24706,None,3910,876120275196170240
22129,None,3586,875747767867523072
19427,None,4160,875144289856114688
24264,None,5120,875097192612077568
22567,None,3977,875021211251597312
24624,None,3924,874680097055178752
0,None,12225,874434818259525634
22983,None,3486,874296783580663808
20134,None,3382,874057562936811520
30150,PrideMonth,8602,874012996292530176
21399,None,3345,873580283840344065
0,None,1332,873337748698140672
6326,None,1332,873213775632977920
24100,None,4566,872967104147763200
13083,dogsatpollingstations,3169,872820683541237760
18336,PrideMonth,3070,872620804844003328
36125,None,7725,872486979161796608
30255,None,6836,872122724285648897
33136,PrideMonth,9258,871879754684805121
17903,None,2973,871762521631449091
17905,None,2945,871515927908634625
0,None,4898,871166179821445120
18562,None,4689,871102520638267392
20176,None,3230,871032628920680449
29828,None,5289,870804317367881728
105,None,3,870726314365509632
10900,None,2212,870656317836468226
74002,None,22768,870374049280663552
19498,None,3553,870308999962521604
32450,None,7083,870063196459192321
38058,None,8704,869772420881756160
25087,None,5390,869702957897576449
14227,None,2642,869596645499047938
18151,None,3202,869227993411051520
58040,None,12272,868880397819494401
0,None,1755,868639477480148993
23660,None,4480,868622495443632128
8975,None,1755,868552278524837888
21623,None,3577,867900495410671616
30296,None,6261,867774946302451713
14360,None,2119,867421006826221569
0,None,101,867072653475098625
28731,None,6793,867051520902168576
17888,None,4135,866720684873056260
17147,None,2974,866686824827068416
108981,None,30244,866450705531457537
46666,None,12225,866334964761202691
0,None,7175,866094527597207552
22952,None,4857,865718153858494464
23631,None,4297,865359393868664832
25062,None,6682,865006731092295680
28888,None,7501,864873206498414592
13084,None,2587,864279568663928832
26663,None,7599,864197398364647424
18463,None,3597,863907417377173506
13694,None,3640,863553081350529029
0,None,2092,863471782782697472
21332,None,4564,863432100342583297
1962,None,80,863427515083354112
7912,None,954,863079547188785154
7536,None,2092,863062471531167744
17231,None,4464,862831371563274240
15351,None,3092,862722525377298433
18297,None,4264,862457590147678208
66380,None,20030,862096992088072192
32324,None,9280,861383897657036800
15364,None,3596,861288531465048066
15006,None,3344,861005113778896900
0,None,1858,860981674716409858
0,None,679,860924035999428608
6734,None,1858,860563773140209665
21286,None,4610,860524505164394496
16602,None,3078,860276583193509888
15034,None,5129,860184849394610176
0,None,26788,860177593139703809
17655,None,3590,859924526012018688
13988,None,3073,859851578198683649
16858,None,1367,859607811541651456
80657,None,26323,859196978902773760
30473,None,11984,859074603037188101
0,None,7098,858860390427611136
14143,None,3031,858843525470990336
19508,None,4270,858471635011153920
14254,None,2541,858107933456039936
14507,None,2271,857989990357356544
30856,None,9364,857746408056729600
5318,None,1444,857393404942143489
18276,None,3990,857263160327368704
204,None,16,857214891891077121
0,None,148,857062103051644929
17073,None,3497,857029823797047296
14854,None,2553,856543823941562368
10840,None,1657,856526610513747968
489,None,15,856288084350160898
25281,None,5589,856282028240666624
303,None,21,855862651834028034
4417,None,853,855860136149123072
10871,None,1864,855857698524602368
41934,ScienceMarch,16150,855851453814013952
24309,None,4823,855818117272018944
27137,None,7319,855459453768019968
0,None,5276,855245323840757760
0,None,36,855138241867124737
20717,None,5365,854732716440526848
26626,None,6038,854482394044301312
17223,None,4165,854365224396361728
29274,None,6603,854120357044912130
14853,None,2799,854010172552949760
26124,None,5120,853760880890318849
31601,None,8896,853639147608842240
14191,None,3178,853299958564483072
0,None,1791,852936405516943360
8267,None,1602,852912242202992640
13665,None,1917,852672615818899456
14919,None,3127,852553447878664193
30406,None,8898,852311364735569921
18375,None,6106,852226086759018497
10582,None,1421,852189679701164033
14983,None,3132,851591660324737024
22298,None,6326,851464819735769094
19077,None,5183,851224888060895234
28202,None,8106,850753642995093505
12099,None,2336,850380195714523136
3199,None,301,850333567704068097
15072,None,3404,850145622816686080
18818,None,4387,850019790995546112
27959,None,6840,849776966551130114
0,None,4457,849668094696017920
14695,None,2838,849412302885593088
10577,None,1696,849336543269576704
39081,None,7649,849051919805034497
23310,None,3935,848690551926992896
22869,None,4171,848324959059550208
7548,None,647,848213670039564288
15058,None,2722,848212111729840128
0,None,2929,847978865427394560
0,None,396,847971574464610304
21771,None,4589,847962785489326080
5023,None,1193,847842811428974592
6478,None,376,847617282490613760
17381,None,3098,847606175596138505
19011,None,3927,847251039262605312
18406,None,5264,847157206088847362
19905,None,2885,847116187444137987
18655,None,3559,846874817362120707
41290,None,10414,846514051647705089
13097,None,2768,846505985330044928
29162,None,8195,846153765933735936
28866,None,9184,846139713627017216
14842,None,2598,846042936437604353
27089,None,7890,845812042753855489
23483,None,4394,845677943972139009
7099,None,1624,845397057150107648
21666,None,4874,845306882940190720
0,None,6956,845098359547420673
12700,None,2318,844979544864018432
13960,None,2864,844973813909606400
15315,None,2823,844580511645339650
12730,None,1994,844223788422217728
14154,None,2703,843981021012017153
20005,None,4179,843856843873095681
15743,None,2486,843604394117681152
20006,None,5431,843235543001513987
14247,None,3320,842846295480000512
6307,None,1177,842765311967449089
16952,None,3191,842535590457499648
22785,None,5276,842163532590374912
13061,None,2764,842115215311396866
0,None,13615,841833993020538882
24079,None,7175,841680585030541313
11768,K9VeteransDay,3341,841439858740625411
18456,None,5032,841320156043304961
14781,None,4247,841314665196081154
21379,None,4898,841077006473256960
0,None,1622,840761248237133825
0,None,14632,840728873075638272
165,None,2,840698636975636481
11508,None,892,840696689258311684
8445,None,1622,840632337062862849
15369,None,4192,840370681858686976
17946,None,5236,840268004936019968
12565,None,2076,839990271299457024
25639,None,7098,839549326359670784
0,None,133,839290600511926273
25290,None,5958,839239871831150596
18412,None,3668,838952994649550848
10446,None,1859,838921590096166913
0,GoodDogs,31,838916489579200512
0,None,10064,838831947270979586
10271,None,1234,838561493054533637
21028,None,4356,838476387338051585
0,None,9234,838201503651401729
1572,None,304,838150277551247360
133,None,1,838085839343206401
16506,None,2854,838083903487373313
31900,None,7175,837820167694528512
3617,None,409,837482249356513284
12013,None,2066,837471256429613056
15091,None,2185,837110210464448512
11979,None,2123,836989968035819520
18171,None,4275,836753516572119041
11871,None,2029,836677758902222849
0,None,509,836648853927522308
0,None,25159,836397794269200385
13932,None,2752,836380477523124226
20001,None,3990,836260088725786625
17938,None,3904,836001077879255040
0,None,7446,835685285446955009
16695,None,3308,835574547218894849
0,None,1549,835536468978302976
0,None,19222,835309094223372289
15470,None,2749,835297930240217089
7254,None,1549,835264098648616962
1992,None,63,835246439529840640
24625,None,5314,835172783151792128
20999,None,2766,835152434251116546
10129,None,1497,834931633769889797
20261,None,5120,834786237630337024
12840,None,2321,834574053763584002
0,None,9799,834477809192075265
9050,None,1554,834458053273591808
19295,None,4344,834209720923721728
14864,None,3373,834167344700198914
9467,None,1971,834089966724603904
12271,None,2045,834086379323871233
12652,None,2216,833863086058651648
17107,None,3496,833826103416520705
0,None,205,833732339549220864
19731,None,3006,833722901757046785
14044,None,1896,833479644947025920
19031,None,4457,833124694597443584
12462,None,2026,832998151111966721
0,None,38,832769181346996225
15885,None,3332,832757312314028032
11167,None,2670,832682457690300417
2746,None,485,832645525019123713
14941,None,2572,832636094638288896
11265,None,2041,832397543355072512
16113,None,2929,832369877331693569
10669,None,2151,832273440279240704
0,None,5740,832215909146226688
0,None,8607,832215726631055365
59,None,2,832088576586297345
0,None,8848,832040443403784192
16805,None,4310,832032802820481025
22501,None,5672,831939777352105988
319,None,34,831926988323639298
25899,None,5995,831911600680497154
9815,None,1691,831670449226514432
6697,None,1791,831650051525054464
8474,None,2167,831552930092285952
8770,None,1447,831322785565769729
6183,WKCDogShow,1040,831315979191906304
11117,None,2274,831309418084069378
11192,None,1896,831262627380748289
7530,None,1379,830956169170665475
62572,None,15449,830583320585068544
0,None,5256,830173239259324417
9188,None,2708,830097400375152640
0,None,4622,829878982036299777
11548,None,1798,829861396166877184
29939,None,9799,829501995190984704
9899,None,1865,829449946868879360
22948,None,6789,829141528400556032
50342,None,15145,829011960981237760
0,None,3169,828801551087042563
24146,None,5410,828770345708580865
34319,None,10354,828708714936930305
8973,None,1244,828650029636317184
6051,None,1082,828409743546925057
7264,None,1189,828408677031882754
11890,None,2065,828381636999917570
6995,None,996,828376505180889089
11886,None,2730,828372645993398273
2074,None,165,828361771580813312
11075,None,2660,828046555563323392
9789,None,2000,828011680017821696
18881,None,4848,827933404142436356
14611,None,2800,827653905312006145
7066,None,865,827600520311402496
14970,None,2813,827324948884643840
10018,None,2065,827199976799354881
20347,None,4622,826958653328592898
34085,None,9360,826848821049180160
0,None,3687,826615380357632002
4866,None,230,826598799820865537
9461,None,2183,826598365270007810
17397,None,3896,826476773533745153
12543,None,2424,826240494070030336
4603,None,857,826204788643753985
14758,None,2877,826115272272650244
9931,None,1740,825876512159186944
12032,None,2338,825829644528148480
54027,None,16370,825535076884762624
17286,None,4191,825147591692263424
0,None,1168,825120256414846976
5916,None,1168,825026590719483904
0,None,5108,824796380199809024
14078,None,3279,824775126675836928
9946,None,1649,824663926340194305
11194,BellLetsTalk,9900,824325613288833024
14243,None,3574,824297048279236611
4582,None,558,824025158776213504
10063,None,2542,823939628516474880
0,None,10376,823719002937630720
13223,None,2336,823699002998870016
12285,None,2448,823581115634085888
662,None,22,823333489516937216
14845,None,3723,823322678127919110
0,None,9244,823269594223824897
16389,None,3200,822975315408461824
124204,WomensMarch,39968,822872901745569793
12468,None,2111,822859134160621569
0,None,5961,822647212903690241
13989,None,2736,822610361945911296
17137,None,5961,822489057087389700
26342,None,13168,822462944365645825
33145,None,9244,822244816520155136
0,None,4389,822163064745328640
10687,None,2146,821886076407029760
0,None,3128,821813639212650496
7915,None,1557,821765923262631936
7580,None,1633,821522889702862852
0,None,5132,821421320206483457
11112,None,3998,821407182352777218
236,None,9,821153421864615936
8118,None,1826,821149554670182400
9079,None,1976,821107785811234820
11967,None,2128,821044531881721856
0,None,6252,820837357901512704
29871,None,9234,820749716845686786
11596,None,3006,820690176645140481
0,None,523,820494788566847489
0,None,2398,820446719150292993
3163,None,523,820314633777061888
18674,None,5802,820078625395449857
0,None,1083,820013781606658049
5020,None,1083,819952236453363712
12244,None,4552,819924195358416896
12636,None,2880,819711362133872643
9165,None,1871,819588359383371776
6853,None,1118,819347104292290561
2141,None,379,819238181065359361
21816,None,6252,819227688460238848
0,None,34578,819015337530290176
0,None,17817,819015331746349057
43072,None,17817,819006400881917954
82754,None,34578,819004803107983360
0,None,19468,818646164899774465
21249,None,7065,818627210458333184
9313,None,2356,818614493328580609
0,None,5702,818588835076603904
10285,None,2277,818536468981415936
0,None,7471,818307523543449600
10428,None,2091,818259473185828864
11624,None,2371,818145370475810820
4609,None,741,817908911860748288
48691,None,25159,817827839487737858
10232,None,2523,817777686764523521
11137,None,2734,817536400337801217
0,None,3146,817502432452313088
31899,None,13615,817423860136083457
5302,None,890,817415592588222464
0,None,7881,817181837579653120
8316,None,1872,817171292965273600
11557,None,2415,817120970343411712
8148,None,1520,817056546584727552
0,None,4397,816829038950027264
9489,None,1898,816816676327063552
9254,None,2059,816697700272001025
28743,None,7471,816450570814898180
8174,None,1805,816336735214911488
8489,None,1992,816091915477250048
0,None,944,816062466425819140
0,None,4889,816014286006976512
4693,None,944,815990720817401858
21155,None,7881,815966073409433600
0,None,3863,815745968457060357
9318,None,2124,815736392542261248
7829,None,1556,815639385530101762
9834,None,3574,815390420867969024
7261,None,1188,814986499976527872
10702,None,2527,814638523311648768
0,None,5466,814578408554463233
8222,None,1742,814530161257443328
27289,None,8118,814153002265309185
0,None,2961,813944609378369540
8859,None,1735,813910438903693312
34669,None,13046,813812741911748608
7888,None,1650,813800681631023104
17710,None,6855,813217897535406080
8776,None,1706,813202720496779264
18854,None,4051,813187593374461952
8815,None,1809,813172488309972993
7386,None,2066,813157409116065792
8091,None,2245,813142292504645637
4265,None,418,813130366689148928
11226,None,2924,813127251579564032
9806,None,2572,813112105746448384
10048,None,3392,813096984823349248
9428,None,2598,813081950185472002
7548,None,1831,813066809284972545
19941,None,6867,813051746834595840
7162,None,1787,812781120811126785
6298,None,1354,812709060537683968
5744,None,1148,812503143955202048
7581,None,1802,812466873996607488
12948,None,3429,812372279581671427
6922,None,1312,811985624773361665
7163,None,1480,811744202451197953
5322,None,682,811647686436880384
12089,None,2856,811627233043480576
19891,None,5993,811386762094317568
5057,None,1335,810984652412424192
8554,None,1646,810896069567610880
10438,None,2471,810657578271330305
33351,None,10507,810284430598270976
13992,None,3169,810254108431155201
14798,None,3687,809920764300447744
0,None,4587,809808892968534016
6614,None,1371,809448704142938112
18915,None,5256,809220051211603969
12585,None,3309,809084759137812480
9653,None,2868,808838249661788160
7516,None,2035,808733504066486276
10769,None,2456,808501579447930884
40257,None,19468,808344865868283904
0,None,5529,808134635716833280
8398,None,2071,808106460588765185
11865,None,3318,808001312164028416
13873,None,3394,807621403335917568
111783,None,51740,807106840509214720
0,None,6902,807059379405148160
12493,None,3638,807010152071229440
70696,None,32431,806629075125202948
0,None,5150,806620845233815552
4663,None,1827,806576416489959424
9748,None,2219,806542213899489280
0,None,10898,806242860592926720
6143,None,1134,806219024703037440
0,None,5023,805958939288408065
7894,None,1804,805932879469572096
6247,None,1718,805826884734976000
0,None,7491,805823200554876929
5490,None,1553,805520635690676224
8359,None,2383,805487436403003392
7490,None,1629,805207613751304193
13004,None,3604,804738756058218496
5853,None,1893,804475857670639616
0,None,3015,804413760345620481
42131,None,15077,804026241225523202
9573,None,2591,803773340896923648
0,None,6935,803692223237865472
10394,None,3888,803638050916102144
7407,None,1771,803380650405482500
0,None,4965,803321560782307329
9569,None,2302,803276597545603072
8585,None,1878,802952499103731712
0,None,2730,802624713319034886
6771,None,1385,802600418706604034
8529,None,2361,802572683846291456
15359,None,5490,802323869084381190
6627,None,1300,802265048156610565
8661,None,2463,802239329049477120
0,None,251,802185808107208704
7374,None,1599,801958328846974976
1722,None,219,801854953262350336
7828,None,1955,801538201127157760
5749,None,773,801285448605831168
23212,None,5529,801167903437357056
0,None,3706,801127390143516673
7686,None,1986,801115127852503040
648,None,91,800859414831898624
0,None,1520,800855607700029440
10102,None,2639,800751577355128832
12512,None,2834,800513324630806528
9058,None,2064,800459316964663297
0,None,4031,800443802682937345
10631,None,2638,800388270626521089
0,None,3698,800188575492947969
14530,None,2398,800141422401830912
26946,None,12339,800018252395122689
0,None,4376,799774291445383169
7987,None,2006,799757965289017345
7694,None,1802,799422933579902976
0,None,5094,799308762079035393
9401,None,2569,799297110730567681
7703,None,2344,799063482566066176
12442,None,4163,798933969379225600
7167,None,1363,798925684722855936
0,None,6228,798705661114773508
0,None,7258,798701998996647937
0,None,6106,798697898615730177
0,None,4649,798694562394996736
0,None,2182,798686750113755136
0,None,4438,798682547630837760
0,None,5231,798673117451325440
0,None,3680,798665375516884993
0,None,1748,798644042770751489
0,None,1867,798628517273620480
0,None,5283,798585098161549313
0,None,5493,798576900688019456
0,None,3144,798340744599797760
9934,None,2425,798209839306514432
10969,None,2894,797971864723324932
13898,None,4625,797545162159308800
18957,None,6170,797236660651966464
214,None,24,797165961484890113
0,None,8364,796904159865868288
7325,None,1831,796865951799083009
11218,None,2840,796759840936919040
0,None,6757,796563435802726400
7199,None,1655,796484825502875648
10473,None,3897,796387464403357696
0,None,13398,796177847564038144
30570,None,13398,796149749086875649
4741,ImWithThor,1687,796125600683540480
8654,None,2256,796116448414461957
8031,None,2172,796080075804475393
10288,None,3509,796031486298386433
46865,None,22012,795464331001561088
9531,None,2689,795400264262053889
15359,None,5108,795076730285391872
0,None,3165,794983741416415232
9697,None,2165,794926597468000259
0,None,9679,794355576146903043
9150,None,2542,794332329137291264
8785,None,3119,794205286408003585
15933,None,4587,793962221541933056
8783,None,1751,793845145112371200
0,None,2933,793614319594401792
7593,None,1521,793601777308463104
10141,None,2237,793500921481273345
23376,None,8607,793286476301799424
8263,None,2252,793271401113350145
18962,None,7819,793256262322548741
10006,None,3083,793241302385262592
9295,None,2723,793226087023144960
8486,None,2614,793210959003287553
14470,None,5285,793195938047070209
6572,None,1869,793180763617361921
8913,None,2632,793165685325201412
5860,None,1598,793150605191548928
6095,None,2365,793135492858580992
12046,None,3695,793120401413079041
13620,None,3719,792913359805018113
10728,None,4011,792883833364439040
7006,None,1575,792773781206999040
12744,None,4020,792394556390137856
6788,None,1674,792050063153438720
0,None,19745,791821351946420224
0,None,8921,791784077045166082
0,None,3563,791780927877898241
42824,None,20805,791774931465953280
11167,None,2933,791672322847637504
12500,None,3863,791406955684368384
8332,None,2370,791312159183634433
0,None,3824,791026214425268224
9318,None,1992,790987426131050500
15881,None,4397,790946055508652032
0,None,2149,790723298204217344
7811,None,1810,790698755171364864
19600,None,6662,790581949425475584
7431,None,1770,790337589677002753
11922,None,2961,790277117346975746
0,None,3318,790227638568808452
8814,None,2149,789986466051088384
0,None,3843,789960241177853952
9801,None,3889,789903600034189313
7088,None,1653,789628658055020548
6392,None,1798,789599242079838210
11097,None,3165,789530877013393408
8203,None,2141,789314372632018944
0,None,4596,789280767834746880
8675,None,2450,789268448748703744
9237,None,2611,789137962068021249
26104,None,11727,788908386943430656
25952,None,9679,788765914992902144
0,None,6675,788552643979468800
14747,None,4938,788412144018661376
6904,None,1982,788178268662984705
5806,None,1203,788150585577050112
0,None,3218,788070120937619456
5803,None,1231,788039637453406209
8164,None,2844,787810552592695296
9719,None,2589,787717603741622272
10349,None,2670,787397959788929025
7409,None,1628,787322443945877504
0,None,6303,787111942498508800
25316,None,7446,786963064373534720
0,None,2278,786729988674449408
17385,None,5740,786709082849828864
10060,None,2368,786664955043049472
8996,None,2926,786595970293370880
10292,None,3226,786363235746385920
7571,None,2652,786286427768250368
14426,None,4389,786233965241827333
1355,None,148,786051337297522688
0,None,6508,786036967502913536
10827,None,2993,785927819176054784
6355,None,1675,785872687017132033
7468,None,2106,785639753186217984
8602,None,1843,785533386513321988
5804,None,1166,785515384317313025
6911,None,1521,785264754247995392
11396,None,4506,785170936622350336
9587,None,3015,784826020293709826
8505,None,2370,784517518371221505
5449,None,1184,784431430411685888
18990,None,7491,784183165795655680
28144,None,10376,784057939640352768
28427,None,10064,783839966405230592
6996,None,1831,783821107061198850
9888,None,2995,783695101801398276
7993,None,2077,783466772167098368
16016,None,5100,783391753726550016
0,None,5156,783347506784731136
27539,None,10898,783334639985389568
7742,None,2022,783085703974514689
22847,None,6902,782969140009107456
7080,None,1320,782747134529531904
16321,None,5023,782722598790725632
7391,None,1768,782598640137187329
15734,None,5132,782305867769217024
0,None,5746,782021823840026624
10582,None,3144,781955203444699136
9892,None,2529,781661882474196992
3791,None,1055,781655249211752448
19612,None,5150,781524693396357120
6757,None,2386,781308096455073793
7929,None,1932,781251288990355457
9287,None,2584,781163403222056960
20506,None,6757,780931614150983680
6812,None,1868,780858289093574656
5203,None,1203,780800785462489090
11434,None,3128,780601303617732608
5959,None,1629,780543529827336192
0,None,3429,780496263422808064
0,None,103,780476555013349377
5003,None,1005,780459368902959104
8225,None,2091,780192070812196864
0,None,2140,780092040432480260
11445,None,4578,780074436359819264
17787,None,6508,779834332596887552
8269,None,2892,779377524342161408
0,None,17048,779124354206535695
13922,None,4218,779056095788752897
18778,None,6663,778990705243029504
0,None,9169,778774459159379968
823,None,338,778764940568104960
6470,None,1209,778748913645780993
5428,None,1394,778650543019483137
4347,None,943,778624900596654080
12884,None,4013,778408200802557953
0,None,11354,778396591732486144
5511,None,1019,778383385161035776
9751,None,3065,778286810187399168
7998,None,2468,778039087836069888
6203,None,1494,778027034220126208
0,None,3272,777953400541634568
6000,None,1517,777885040357281792
10633,None,2730,777684233540206592
0,None,3928,777641927919427584
8230,None,2345,777621514455814149
13351,None,3990,777189768882946048
0,None,12627,776819012571455488
4611,None,1114,776813020089548800
8258,None,2566,776477788987613185
0,None,8477,776249906839351296
28135,None,14752,776218204058357768
9035,None,2337,776201521193218049
11131,None,4031,776113305656188928
1718,None,141,776088319444877312
0,None,15558,775898661951791106
11047,None,2468,775842724423557120
